"topic_label","originaltopic","haldtopic","topic_use","topic_majortaxon","topic_discipline","year","proportion_present","sd_proportion_present","rollmean","start_year","start_year_proportion_present","norm_year","norm_prop"
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1967,0.0293378038558256,0.00488570945195314,0.0346730507174299,1961,0.0535475234270415,6,0.547883487007543
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1968,0.0251436781609195,0.00419628612563241,0.0308522288274899,1961,0.0535475234270415,7,0.469558189655172
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1969,0.0255068672334859,0.00403194138262163,0.0305817014477408,1961,0.0535475234270415,8,0.476340745585349
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1970,0.0249201277955272,0.00394037955926109,0.0273281791141259,1961,0.0535475234270415,9,0.46538338658147
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1971,0.0163075131042516,0.00305659851454114,0.024243198030002,1961,0.0535475234270415,10,0.304542807221899
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1972,0.0215633423180593,0.0033725037358097,0.0226883057224487,1961,0.0535475234270415,11,0.402695417789757
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1973,0.018435475834579,0.00300270672324744,0.0213466652571806,1961,0.0535475234270415,12,0.344282511210763
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1974,0.0196078431372549,0.00303206012963583,0.0201668604379344,1961,0.0535475234270415,13,0.366176470588235
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1975,0.0163934426229508,0.00263747938846072,0.0184615234034191,1961,0.0535475234270415,14,0.306147540983606
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1976,0.0184177480117204,0.00275089197984259,0.0188835703849129,1961,0.0535475234270415,15,0.343951444118878
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1977,0.0217953454008127,0.00280641965005016,0.0189299710014636,1961,0.0535475234270415,16,0.407028075360177
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1978,0.0150862068965517,0.00231022630207946,0.0182601172138581,1961,0.0535475234270415,17,0.281734913793103
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1979,0.0178978197201432,0.00239164723466672,0.0179181125304358,1961,0.0535475234270415,18,0.334241783273674
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1980,0.0143884892086331,0.00206180439086759,0.0175171218475722,1961,0.0535475234270415,19,0.268705035971223
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1981,0.017032967032967,0.00214468708923237,0.0172401656518215,1961,0.0535475234270415,20,0.318090659340659
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1982,0.0167025862068966,0.00210344095534259,0.0162216138130383,1961,0.0535475234270415,21,0.311920797413794
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1983,0.0167310167310167,0.00205779366109694,0.0165505757799313,1961,0.0535475234270415,22,0.312451737451737
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1984,0.0151442307692308,0.00189349106782992,0.0159998579897488,1961,0.0535475234270415,23,0.282818509615385
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1985,0.0126069338135975,0.00167401943540312,0.0156435469107417,1961,0.0535475234270415,24,0.235434488968933
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1986,0.0146601510439805,0.00179126359898915,0.0151689837129444,1961,0.0535475234270415,25,0.273778320746336
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1987,0.012768674185997,0.00163787081338757,0.0143822013087645,1961,0.0535475234270415,26,0.238454990423494
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1988,0.0156475190446778,0.00178079534923423,0.0141655017714967,1961,0.0535475234270415,27,0.292217418159358
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1989,0.0153102336825141,0.00174270844406386,0.0141987023541534,1961,0.0535475234270415,28,0.285918614020951
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1990,0.0137807070101857,0.00164753140221582,0.014433456993471,1961,0.0535475234270415,29,0.257354703415218
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1991,0.0147420147420147,0.00165685507171386,0.0144498297330779,1961,0.0535475234270415,30,0.275307125307125
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1992,0.0114367405289492,0.00142139411821005,0.0141834430016683,1961,0.0535475234270415,31,0.213581129378126
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1993,0.0127622377622378,0.0014841448203667,0.0136063867451803,1961,0.0535475234270415,32,0.238334790209791
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1994,0.0118013440419603,0.00138257071197278,0.0129046088170695,1961,0.0535475234270415,33,0.220390099983609
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1995,0.0120928732666882,0.0013878960156819,0.01256704206837,1961,0.0535475234270415,34,0.225834408255402
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1996,0.012253829321663,0.00132878544152776,0.0120694049842997,1961,0.0535475234270415,35,0.228840262582057
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1997,0.0162899911945994,0.00153353222057472,0.0130400551174297,1961,0.0535475234270415,36,0.304215585559144
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1998,0.0175200325954095,0.00152898035923279,0.0139916140840641,1961,0.0535475234270415,37,0.327186608719272
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1999,0.0122459965011439,0.00127584475965476,0.0140805445759008,1961,0.0535475234270415,38,0.228693984658862
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2000,0.0121541246444272,0.00124596072991515,0.0140927948514486,1961,0.0535475234270415,39,0.226978277734678
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2001,0.0119833700171191,0.0012032283579229,0.0140387029905398,1961,0.0535475234270415,40,0.223789435069699
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2002,0.0128484848484848,0.0012399120831777,0.0133504017213169,1961,0.0535475234270415,41,0.239945454545454
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2003,0.0147175365108117,0.00128127933658206,0.0127899025043973,1961,0.0535475234270415,42,0.274849994339408
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2004,0.00986409469530907,0.00103462598798944,0.0123135221432304,1961,0.0535475234270415,43,0.184211968434897
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2005,0.0115551786282201,0.00110037225060736,0.012193732939989,1961,0.0535475234270415,44,0.21579296088201
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2006,0.0101375087824952,0.00100359384816903,0.0118245606930642,1961,0.0535475234270415,45,0.189317976513098
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2007,0.00891457680250784,0.000930326901105864,0.0110377790838688,1961,0.0535475234270415,46,0.166479721786834
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2008,0.00962278675904542,0.000957637582601473,0.0100188291335155,1961,0.0535475234270415,47,0.179705542725173
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2009,0.00970873786407767,0.000951975203917624,0.00998775776726925,1961,0.0535475234270415,48,0.181310679611651
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",2010,0.0104430997462424,0.00100428718975665,0.00976534199087371,1961,0.0535475234270415,49,0.195024887761077
"field ecology","topic20","topic118",1,NA,"ecology",1961,0.0200803212851406,0.00513239729407598,0.0202410884268587,1961,0.0200803212851406,0,1
"field ecology","topic20","topic118",1,NA,"ecology",1962,0.0254691689008043,0.00576813962791878,0.0215434530127067,1961,0.0200803212851406,1,1.26836461126005
"field ecology","topic20","topic118",1,NA,"ecology",1963,0.0214917825537295,0.00515620547624559,0.0203623574686581,1961,0.0200803212851406,2,1.07029077117573
"field ecology","topic20","topic118",1,NA,"ecology",1964,0.0278925619834711,0.00529253401413482,0.0228810645802341,1961,0.0200803212851406,3,1.38904958677686
"field ecology","topic20","topic118",1,NA,"ecology",1965,0.0383141762452107,0.00594081603459959,0.0266496021936712,1961,0.0200803212851406,4,1.90804597701149
"field ecology","topic20","topic118",1,NA,"ecology",1966,0.0334476843910806,0.00526558267354145,0.0293230748148592,1961,0.0200803212851406,5,1.66569468267581
"field ecology","topic20","topic118",1,NA,"ecology",1967,0.019279128248114,0.00398103671962971,0.0280850666843212,1961,0.0200803212851406,6,0.960100586756075
